popularity_7d,avg_price,market_hash_name
6,1.729,Five-SeveN | Nightshade (Minimal Wear)
10,29.142899999999997,M4A1-S | Bright Water (Minimal Wear)
6,4.133,M4A4 | Jungle Tiger (Field-Tested)
4,0.9955,Five-SeveN | Kami (Field-Tested)
3,2.5586667,PP-Bizon | Water Sigil (Factory New)
2,5.382,SSG 08 | Mayan Dreams (Battle-Scarred)
0,0.0,MAG-7 | Hazard (Battle-Scarred)
0,0.0,UMP-45 | Caramel (Minimal Wear)
0,0.0,MAG-7 | Memento (Field-Tested)
1,8.735,MAG-7 | Sand Dune (Minimal Wear)
2,11.26,P90 | Blind Spot (Factory New)
0,0.0,AWP | Electric Hive (Factory New)
4,2.89675,Galil AR | Sandstorm (Minimal Wear)
225,0.008026654222222221,Dual Berettas | Contractor (Field-Tested)
3,104.61633333333333,Desert Eagle | Hypnotic (Factory New)
445,0.1439393384269663,SCAR-20 | Carbon Fiber (Factory New)
5,4.676599999999999,M4A4 | Tornado (Battle-Scarred)
7,2.1985714428571432,XM1014 | Grassland (Field-Tested)
2,8.6915,Nova | Tempest (Minimal Wear)
126,2.796920624603175,P2000 | Amber Fade (Field-Tested)
30,3.8280666599999993,P250 | Hive (Minimal Wear)
66,0.05646972424242424,USP-S | Forest Leaves (Field-Tested)
7,2.0,Five-SeveN | Jungle (Field-Tested)
231,0.007930765800865802,SCAR-20 | Contractor (Field-Tested)
36,0.34736110000000003,FAMAS | Teardown (Minimal Wear)
104,0.05600961442307692,AUG | Condemned (Field-Tested)
5,2.52560002,P250 | Gunsmoke (Field-Tested)
6,25.645,M4A4 | Radiation Hazard (Field-Tested)
4,5.06975,StatTrak™ FAMAS | Doomkitty (Minimal Wear)
7,2.650714285714286,XM1014 | Jungle (Field-Tested)
57,0.04194736842105263,MP9 | Orange Peel (Field-Tested)
153,0.010209166013071896,PP-Bizon | Urban Dashed (Field-Tested)
139,0.01733810431654676,Galil AR | Sage Spray (Minimal Wear)
107,0.03441121308411216,AUG | Storm (Minimal Wear)
60,1.7483999983333334,M249 | Magma (Field-Tested)
38,0.008789473684210528,SG 553 | Waves Perforated (Well-Worn)
7,5.300285728571429,Nova | Rising Skull (Field-Tested)
2,7.047,M249 | Blizzard Marbleized (Field-Tested)
1,8.337,G3SG1 | Arctic Camo (Field-Tested)
50,5.741519974,M4A1-S | Blood Tiger (Field-Tested)
2,1.618,Nova | Walnut (Field-Tested)
10,5.11530001,AK-47 | Jungle Spray (Field-Tested)
60,0.02998329333333333,Tec-9 | Groundwater (Minimal Wear)
0,0.0,Five-SeveN | Contractor (Minimal Wear)
0,0.0,AUG | Hot Rod (Factory New)
54,0.045462959259259264,Sawed-Off | Snake Camo (Field-Tested)
0,0.0,XM1014 | Urban Perforated (Minimal Wear)
5,8.41400002,Dual Berettas | Demolition (Well-Worn)
2,5.702,MAG-7 | Memento (Factory New)
0,0.0,XM1014 | Jungle (Minimal Wear)
0,0.0,M4A4 | Faded Zebra (Factory New)
0,0.0,SCAR-20 | Crimson Web (Minimal Wear)
132,0.051939406060606055,Tec-9 | VariCamo (Field-Tested)
36,0.009138933333333333,P250 | Sand Dune (Battle-Scarred)
6,0.046000016666666664,Sawed-Off | Snake Camo (Well-Worn)
0,0.0,★ Classic Knife | Night Stripe (Battle-Scarred)
37,0.3621621621621621,AUG | Storm (Factory New)
5,1.3574,Galil AR | Sandstorm (Battle-Scarred)
2,24.244,SG 553 | Ultraviolet (Minimal Wear)
67,0.3766567417910448,M4A1-S | Nitro (Well-Worn)
0,0.0,MAG-7 | Sand Dune (Battle-Scarred)
0,0.0,Sawed-Off | Orange DDPAT (Field-Tested)
3,9.7796667,Sawed-Off | Mosaico (Field-Tested)
84,4.539035720238097,Sawed-Off | The Kraken (Field-Tested)
264,0.00814771818181818,AUG | Storm (Field-Tested)
85,0.02399997058823529,Five-SeveN | Forest Night (Minimal Wear)
0,0.0,AK-47 | Case Hardened (Well-Worn)
82,0.10068291463414633,Galil AR | VariCamo (Minimal Wear)
45,0.012444442222222222,PP-Bizon | Urban Dashed (Battle-Scarred)
127,0.0074882070866141735,P90 | Sand Spray (Field-Tested)
0,0.0,Glock-18 | Sand Dune (Battle-Scarred)
4,5.09,PP-Bizon | Irradiated Alert (Minimal Wear)
0,0.0,Nova | Ghost Camo (Factory New)
