id,market_hash_name,avg_price
6943584,Sticker | GuardiaN (Gold) | Cologne 2015,0.0
7039288,Sticker | RpK (Foil) | Cluj-Napoca 2015,41.37
7090050,Sticker | Ex6TenZ (Gold) | MLG Columbus 2016,0.0
7100855,Sticker | kennyS (Foil) | Cluj-Napoca 2015,64.87
7103177,Sticker | Blue Snowflake,0.0
1326246247,Sticker | MAJ3R | Boston 2018,7.63
1326974009,Sticker | LUCAS1 | Boston 2018,10.54
1327137950,Sticker | qikert | Boston 2018,2.63
1327438353,Sticker | balblna | Boston 2018,3.7
1328269142,Sticker | zehN | Boston 2018,1.86
1328972483,Sticker | paz | Boston 2018,6.88
1329110867,Sticker | Jame | Boston 2018,3.98
1329110869,Sticker | Lekr0 (Foil) | Boston 2018,51.0
1329704201,Sticker | Skadoodle | Boston 2018,4.81
1329874827,Sticker | autimatic | Boston 2018,3.87
1329877273,Sticker | dimasick | Boston 2018,8.05
1330048676,Sticker | flamie | Boston 2018,1.79
1330504232,Sticker | LEGIJA | Boston 2018,1.78
1330618387,Sticker | B1ad3 | Boston 2018,2.59
1330624894,Sticker | markeloff | Boston 2018,4.36
1331999169,Sticker | fitch (Foil) | Boston 2018,3.75
1332418148,Sticker | HEN1 (Foil) | Boston 2018,53.29
1332722534,Sticker | kRYSTAL | Boston 2018,2.25
1333242961,Sticker | fitch | Boston 2018,1.46
1333281849,Sticker | chopper | Boston 2018,2.09
1334230043,Sticker | WorldEdit (Foil) | Boston 2018,6.88
1334913995,Sticker | cajunb (Foil) | Boston 2018,7.36
1334913996,Sticker | xms (Foil) | Boston 2018,23.28
1335254121,Sticker | jmqa | Boston 2018,1.9
1335745692,Sticker | Nifty | Boston 2018,3.02
1335787997,Sticker | dupreeh | Boston 2018,1.6
1336046017,Sticker | ngiN | Boston 2018,8.86
1336136426,Sticker | BIT | Boston 2018,23.75
1336312944,Sticker | RpK | Boston 2018,3.0
1336438108,Sticker | AZR | Boston 2018,2.04
1336770474,Sticker | wayLander (Foil) | Boston 2018,5.68
1337295180,Sticker | Stewie2K | Boston 2018,8.26
1337295181,Sticker | tarik (Foil) | Boston 2018,15.53
1337325621,Sticker | NAF | Boston 2018,3.49
1339129330,Sticker | Zeus (Foil) | Boston 2018,5.48
1339805617,Sticker | RUSH (Foil) | Boston 2018,16.89
2579111,Sticker | compLexity Gaming (Holo) | Katowice 2014,370.0
2574910,Sticker | Hyper (Foil) | Cluj-Napoca 2015,31.45
2604761,Sticker | Spiidi (Gold) | MLG Columbus 2016,0.0
2651397,Sticker | RpK (Gold) | Cluj-Napoca 2015,0.0
2659099,Sticker | coldzera (Gold) | Cologne 2015,0.0
2669798,Sticker | NEO (Foil) | Cologne 2015,16.47
2674639,Sticker | nitr0 (Gold) | Cluj-Napoca 2015,0.0
2680920,Sticker | Flipsid3 Tactics (Gold) | DreamHack 2014,0.0
2680921,Sticker | Natus Vincere (Gold) | DreamHack 2014,0.0
2710134,Sticker | seang@res (Foil) | Cluj-Napoca 2015,25.13
2717913,Sticker | SPUNJ (Gold) | Cologne 2015,0.0
2733417,Sticker | Hyper | Cluj-Napoca 2015,14.5
2794464,Sticker | dupreeh (Gold) | MLG Columbus 2016,0.0
2799896,Sticker | Hard Cluck Life(Foil),0.0
2960571,Sticker | friberg (Gold) | Cluj-Napoca 2015,0.0
2972680,Sticker | karrigan (Gold) | MLG Columbus 2016,0.0
3029960,Sticker | Hiko (Gold) | MLG Columbus 2016,0.0
1340769996,Sticker | mir (Foil) | Boston 2018,7.11
1341253152,Sticker | Twistzz (Foil) | Boston 2018,140.99
1341524783,Sticker | ShahZaM (Foil) | Boston 2018,10.0
1341525603,Sticker | xms | Boston 2018,2.73
1377702430,Sticker | innocent (Foil) | Boston 2018,7.82
1380252073,Sticker | chopper (Foil) | Boston 2018,10.1
1384583185,Sticker | DD | Boston 2018,35.34
1390510248,Sticker | Spiidi (Foil) | Boston 2018,6.64
1391255788,Sticker | KrizzeN (Foil) | Boston 2018,5.73
1391916506,Sticker | Fnatic (Foil) | Boston 2018,28.01
1396399329,Sticker | mousesports (Foil) | Boston 2018,57.19
